device,subject,browser,batterystats_Joule_calculated
nexus6p,subjects-coloradoboulevard-net-coloradoboulevard-net,chrome,42.354784800000004
nexus6p,subjects_critical-heinlein-support-de-heinlein-support-de,chrome,28.921885200000002
nexus6p,subjects-heinlein-support-de-heinlein-support-de,chrome,28.558137600000002
nexus6p,subjects_critical-pieterhugo-com-pieterhugo-com,chrome,34.025547599999996
nexus6p,subjects-kasteelhoensbroek-nl-kasteelhoensbroek-nl,chrome,38.7232452
nexus6p,subjects_critical-marketlii-com-marketlii-com,chrome,37.911787200000006
nexus6p,subjects-drivenxdesign-com-drivenxdesign-com,chrome,45.5030172
nexus6p,subjects_critical-denverite-com-denverite-com,chrome,34.506248400000004
nexus6p,subjects-spansh-co-uk-spansh-co-uk,chrome,38.9318976
nexus6p,subjects_critical-visit-sidney-com-visit-sidney-com,chrome,31.5681408
nexus6p,subjects_critical-andreaswaelti-com-andreaswaelti-com,chrome,33.7826844
nexus6p,subjects-nflpenalties-com-nflpenalties-com,chrome,37.36259280000001
nexus6p,subjects-marketlii-com-marketlii-com,chrome,36.3685392
nexus6p,subjects_critical-porn5f-com-porn5f-com,chrome,36.4986828
nexus6p,subjects-kpoe-at-kpoe-at,chrome,31.8908484
nexus6p,subjects_critical-renesia-com-renesia-com,chrome,33.8932764
nexus6p,subjects-japassie-com-japassie-com,chrome,38.1524652
nexus6p,subjects_critical-zuver-net-au-zuver-net-au,chrome,55.3709052
nexus6p,subjects_critical-kpoe-at-kpoe-at,chrome,36.9673812
nexus6p,subjects_critical-japassie-com-japassie-com,chrome,39.8567736
nexus6p,subjects-zuver-net-au-zuver-net-au,chrome,60.52564799999999
nexus6p,subjects_critical-magnetadservices-com-magnetadservices-com,chrome,31.9565376
nexus6p,subjects_critical-xobor-com-xobor-com,chrome,34.478114399999995
nexus6p,subjects-magnetadservices-com-magnetadservices-com,chrome,34.058415600000004
nexus6p,subjects_critical-spansh-co-uk-spansh-co-uk,chrome,38.9661444
nexus6p,subjects_critical-astropix-com-astropix-com,chrome,30.6866556
nexus6p,subjects-porn5f-com-porn5f-com,chrome,35.404153199999996
nexus6p,subjects_critical-nflpenalties-com-nflpenalties-com,chrome,36.98169839999999
nexus6p,subjects-astropix-com-astropix-com,chrome,30.8119464
nexus6p,subjects_critical-coloradoboulevard-net-coloradoboulevard-net,chrome,41.303314799999995
nexus6p,subjects-alliedtelesis-com-alliedtelesis-com,chrome,39.8504268
nexus6p,subjects_critical-vergecampus-com-vergecampus-com,chrome,39.989293200000006
nexus6p,subjects-bdfor-com-bdfor-com,chrome,49.5341856
nexus6p,subjects-visit-sidney-com-visit-sidney-com,chrome,31.357292400000006
nexus6p,subjects_critical-megatorrentshd-biz-megatorrentshd-biz,chrome,34.445052
nexus6p,subjects_critical-worldlink-com-np-worldlink-com-np,chrome,42.35009759999999
nexus6p,subjects_critical-kasteelhoensbroek-nl-kasteelhoensbroek-nl,chrome,37.93652999999999
nexus6p,subjects_critical-drivenxdesign-com-drivenxdesign-com,chrome,43.0819452
nexus6p,subjects_critical-swimply-com-swimply-com,chrome,43.696169999999995
nexus6p,subjects-pieterhugo-com-pieterhugo-com,chrome,33.35535
nexus6p,subjects-denverite-com-denverite-com,chrome,36.6399144
nexus6p,subjects_critical-alliedtelesis-com-alliedtelesis-com,chrome,40.65735239999999
nexus6p,subjects-xobor-com-xobor-com,chrome,33.5798388
nexus6p,subjects-worldlink-com-np-worldlink-com-np,chrome,42.702389999999994
nexus6p,subjects-renesia-com-renesia-com,chrome,35.122662000000005
nexus6p,subjects-swimply-com-swimply-com,chrome,43.899829200000006
nexus6p,subjects-vergecampus-com-vergecampus-com,chrome,36.2650968
nexus6p,subjects-andreaswaelti-com-andreaswaelti-com,chrome,30.91514399999999
nexus6p,subjects-megatorrentshd-biz-megatorrentshd-biz,chrome,32.748642
nexus6p,subjects_critical-bdfor-com-bdfor-com,chrome,35.896248
