device,subject,browser,android_cpu
nexus6p,subjects-ammar-cloud-ammar-cloud,firefox,27.8
nexus6p,subjects_critical-holifestival-org-holifestival-org,firefox,29.0
nexus6p,subjects_critical-compresse-per-articolazioni-eu-compresse-per-articolazioni-eu,firefox,29.3
nexus6p,subjects_critical-ubersocial-com-ubersocial-com,firefox,29.1
nexus6p,subjects_critical-legalaidnc-org-legalaidnc-org,firefox,30.1
nexus6p,subjects_critical-greasyfork-org-greasyfork-org,firefox,28.6
nexus6p,subjects_critical-iflyer-tv-iflyer-tv,firefox,26.5
nexus6p,subjects-telfer-ru-telfer-ru,firefox,28.8
nexus6p,subjects_critical-fusion-org-fusion-org,firefox,29.1
nexus6p,subjects_critical-ammar-cloud-ammar-cloud,firefox,29.3
nexus6p,subjects_critical-cbdvapejuice-net-cbdvapejuice-net,firefox,27.9
nexus6p,subjects-greentechmedia-com-greentechmedia-com,firefox,30.0
nexus6p,subjects_critical-sciencebeta-com-sciencebeta-com,firefox,28.8
nexus6p,subjects-kenengba-com-kenengba-com,firefox,27.6
nexus6p,subjects-sportravel-es-sportravel-es,firefox,28.7
nexus6p,subjects-holifestival-org-holifestival-org,firefox,28.6
nexus6p,subjects_critical-hagley-org-hagley-org,firefox,27.2
nexus6p,subjects_critical-hcss-com-hcss-com,firefox,27.9
nexus6p,subjects-compresse-per-articolazioni-eu-compresse-per-articolazioni-eu,firefox,27.8
nexus6p,subjects-lekhafoods-com-lekhafoods-com,firefox,28.2
nexus6p,subjects-cottagelife-com-cottagelife-com,firefox,29.1
nexus6p,subjects-iliketubes-com-iliketubes-com,firefox,29.6
nexus6p,subjects_critical-quechua-co-uk-quechua-co-uk,firefox,28.1
nexus6p,subjects_critical-adriaticbasket-info-adriaticbasket-info,firefox,28.0
nexus6p,subjects-gildedserpent-com-gildedserpent-com,firefox,29.1
nexus6p,subjects-adidasnmd-us-adidasnmd-us,firefox,29.1
nexus6p,subjects_critical-greentechmedia-com-greentechmedia-com,firefox,29.1
nexus6p,subjects-fusion-org-fusion-org,firefox,28.2
nexus6p,subjects-mrob-com-mrob-com,firefox,29.0
nexus6p,subjects_critical-sportravel-es-sportravel-es,firefox,29.5
nexus6p,subjects_critical-kenengba-com-kenengba-com,firefox,29.456666666666667
nexus6p,subjects_critical-mrob-com-mrob-com,firefox,28.7
nexus6p,subjects-hagley-org-hagley-org,firefox,27.4
nexus6p,subjects-adriaticbasket-info-adriaticbasket-info,firefox,28.1
nexus6p,subjects-ubersocial-com-ubersocial-com,firefox,26.8
nexus6p,subjects_critical-gildedserpent-com-gildedserpent-com,firefox,29.0
nexus6p,subjects_critical-cottagelife-com-cottagelife-com,firefox,28.1
nexus6p,subjects-cbdvapejuice-net-cbdvapejuice-net,firefox,26.169999999999998
nexus6p,subjects-legalaidnc-org-legalaidnc-org,firefox,27.6
nexus6p,subjects_critical-telfer-ru-telfer-ru,firefox,28.2
nexus6p,subjects-quechua-co-uk-quechua-co-uk,firefox,28.5
nexus6p,subjects-iflyer-tv-iflyer-tv,firefox,28.3
nexus6p,subjects-sciencebeta-com-sciencebeta-com,firefox,29.1
nexus6p,subjects_critical-iliketubes-com-iliketubes-com,firefox,29.1
nexus6p,subjects_critical-lekhafoods-com-lekhafoods-com,firefox,28.3
nexus6p,subjects_critical-adidasnmd-us-adidasnmd-us,firefox,28.29
nexus6p,subjects-hcss-com-hcss-com,firefox,28.8
nexus6p,subjects-greasyfork-org-greasyfork-org,firefox,28.7
nexus6p,subjects_critical-velovita-com-velovita-com,firefox,28.4
nexus6p,subjects-velovita-com-velovita-com,firefox,28.0
